"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.69815395411504,0.521,0.265,0,"1","Crlf2"
0,2.17174993552641,0.316,0.06,0,"1","Osm"
0,1.4852735948578,0.721,0.465,0,"1","Grb2"
0,2.63035315836954,0.323,0.068,0,"1","Nfkbid"
0,3.16746957994534,0.313,0.059,0,"1","Mertk"
0,1.43883852565783,0.926,0.672,0,"1","Fxyd5"
0,1.56238040236805,0.713,0.459,0,"1","Vamp8"
0,1.96079421049156,0.45,0.197,0,"1","Bmp2k"
0,3.92208088927647,0.799,0.546,0,"1","Cd74"
0,1.4194906515638,0.606,0.354,0,"1","Samhd1"
0,3.41606147425403,0.286,0.034,0,"1","Milr1"
0,2.18440774190598,0.392,0.142,0,"1","Zfand2a"
0,2.99182472616279,0.311,0.062,0,"1","Rasgef1b"
0,2.61073919971342,0.298,0.05,0,"1","Tlr13"
0,2.32245505831426,0.32,0.072,0,"1","Alcam"
0,2.12811474596171,0.353,0.106,0,"1","Il2rg"
0,2.18679582367004,0.318,0.071,0,"1","Slc7a8"
0,1.635707963636,0.888,0.642,0,"1","Atp6v0b"
0,1.94592016561816,0.47,0.225,0,"1","Atp6v1c1"
0,1.93489329155294,0.484,0.24,0,"1","Blvra"
0,1.59903307596798,0.86,0.616,0,"1","Hexa"
0,1.45715681010822,0.802,0.558,0,"1","Metrnl"
0,2.31742999149899,0.591,0.347,0,"1","Lipa"
0,2.26800915531015,0.574,0.331,0,"1","Wwp1"
0,4.82058947183031,0.259,0.017,0,"1","Ltc4s"
0,2.85411806514021,0.318,0.077,0,"1","Gpr137b"
0,2.76409469811419,0.281,0.042,0,"1","Was"
0,1.419211021145,0.695,0.457,0,"1","Gna13"
0,2.66637019186074,0.283,0.046,0,"1","AI662270"
0,3.78647115435823,0.258,0.022,0,"1","Ptpro"
0,3.62919404596617,0.26,0.024,0,"1","Gpr65"
0,2.11890450849493,0.962,0.727,0,"1","Lgals3"
0,3.35014180503667,0.264,0.032,0,"1","Vav1"
0,2.06174296682994,0.354,0.123,0,"1","Arhgap18"
0,2.65823344288983,0.316,0.085,0,"1","Gpr137b-ps"
0,3.21416468850163,0.263,0.033,0,"1","Nfam1"
0,2.10965112022546,0.888,0.659,0,"1","Hmox1"
0,3.23630479455094,0.259,0.031,0,"1","Clec5a"
0,1.84239628758309,0.964,0.738,0,"1","Sdcbp"
0,2.77541277905966,0.267,0.042,0,"1","Ccr5"
0,1.54517640203709,0.957,0.734,0,"1","Sh3bgrl3"
0,2.59588938088668,0.27,0.05,0,"1","Arhgap45"
0,1.06535779253969,0.844,0.625,0,"1","Glul"
0,1.28762768060359,0.84,0.621,0,"1","Dazap2"
0,2.35090923180421,0.315,0.098,0,"1","Dnase2a"
0,3.11773868849133,0.253,0.036,0,"1","Myo1f"
0,2.83757357311019,0.254,0.038,0,"1","Il10ra"
