"pseudotime_bin","mean_pseudotime","program","mean_UCell","scaled_score"
16,10.6717374263425,"TGF-beta/SMAD",0.216151044078015,1.24746245241105
17,11.0883306914906,"YAP/TEAD",0.209305143042774,0.766655484100928
17,11.0883306914906,"Integrin/FAK",0.137548144212102,0.682144210846703
17,11.0883306914906,"RhoA/ROCK",0.183721873325793,1.02408660532206
17,11.0883306914906,"Myofibroblast",0.526488852136739,1.28734036387614
17,11.0883306914906,"ECM organization",0.146519865287617,0.952201123210934
17,11.0883306914906,"Fibroblast activation",0.0896434682629196,-0.0596937361687662
17,11.0883306914906,"Inflammation",0.0615401853717833,-0.524097823732115
17,11.0883306914906,"TGF-beta",0.168695515337918,1.11929969215209
17,11.0883306914906,"TGF-beta/SMAD",0.21372680059664,1.09831012974331
18,11.5121707640061,"YAP/TEAD",0.229239253050413,1.18059267214681
18,11.5121707640061,"Integrin/FAK",0.130084532380347,0.138493817843448
18,11.5121707640061,"RhoA/ROCK",0.177432436454551,0.569963435901661
18,11.5121707640061,"Myofibroblast",0.52579259825566,1.28203344713384
18,11.5121707640061,"ECM organization",0.144730849471436,0.831477271702905
18,11.5121707640061,"Fibroblast activation",0.0883770621100969,-0.130557257176337
18,11.5121707640061,"Inflammation",0.0596381431614505,-0.663425980479137
18,11.5121707640061,"TGF-beta",0.178926430166078,2.15174176937706
18,11.5121707640061,"TGF-beta/SMAD",0.225978962784438,1.85212816083284
19,11.821831590885,"YAP/TEAD",0.214320683459043,0.870804537941075
19,11.821831590885,"Integrin/FAK",0.134994233953205,0.496117077169009
19,11.821831590885,"RhoA/ROCK",0.174974995239062,0.392526088760969
19,11.821831590885,"Myofibroblast",0.497656109164727,1.06757431220619
19,11.821831590885,"ECM organization",0.145317712050489,0.871079107644463
19,11.821831590885,"Fibroblast activation",0.0966620469539735,0.333040614819832
19,11.821831590885,"Inflammation",0.0630204254278398,-0.415667465334665
19,11.821831590885,"TGF-beta",0.174108620777683,1.66555757019511
19,11.821831590885,"TGF-beta/SMAD",0.226218911912018,1.8668911043967
20,12.0916757418558,"YAP/TEAD",0.215989789001388,0.90546396615158
20,12.0916757418558,"Integrin/FAK",0.131307278827181,0.227558817651753
20,12.0916757418558,"RhoA/ROCK",0.175136611376832,0.40419543757804
20,12.0916757418558,"Myofibroblast",0.474132944578993,0.888278398223704
20,12.0916757418558,"ECM organization",0.144840610400604,0.838884004496649
20,12.0916757418558,"Fibroblast activation",0.0923635961959217,0.0925148127978798
20,12.0916757418558,"Inflammation",0.060431952371531,-0.605277968069895
20,12.0916757418558,"TGF-beta",0.166868275968947,0.934905740939173
20,12.0916757418558,"TGF-beta/SMAD",0.225208411098669,1.80471973236802
21,12.3448454535458,"YAP/TEAD",0.207534422219592,0.729885987088963
21,12.3448454535458,"Integrin/FAK",0.127733551064843,-0.0327519469321441
21,12.3448454535458,"RhoA/ROCK",0.183390543282041,1.00016321556981
21,12.3448454535458,"Myofibroblast",0.467903469789242,0.840796718112656
21,12.3448454535458,"ECM organization",0.146923441259243,0.979434669851617
21,12.3448454535458,"Fibroblast activation",0.0991831720763409,0.474113684208661
21,12.3448454535458,"Inflammation",0.0658423840457815,-0.208953707607182
21,12.3448454535458,"TGF-beta",0.169010476286867,1.15108364713951
21,12.3448454535458,"TGF-beta/SMAD",0.221442670372532,1.57303138085427
22,12.6178646737091,"YAP/TEAD",0.189371074934455,0.352719166105779
22,12.6178646737091,"Integrin/FAK",0.129083556211542,0.0655825920421876
22,12.6178646737091,"RhoA/ROCK",0.165581389218089,-0.285730840414361
22,12.6178646737091,"Myofibroblast",0.459739236756096,0.778568117096461
22,12.6178646737091,"ECM organization",0.149210598119146,1.13377337531931
22,12.6178646737091,"Fibroblast activation",0.0969687991531931,0.350205361583788
22,12.6178646737091,"Inflammation",0.0674277163079322,-0.092825148147719
22,12.6178646737091,"TGF-beta",0.162536096484289,0.497728375945269
22,12.6178646737091,"TGF-beta/SMAD",0.216827738443435,1.28909628049554
23,12.928250753414,"YAP/TEAD",0.189358297736508,0.352453844133176
23,12.928250753414,"Integrin/FAK",0.122113705396008,-0.442102188524433
23,12.928250753414,"RhoA/ROCK",0.172758995025017,0.232521773392138
23,12.928250753414,"Myofibroblast",0.444495128814064,0.662376001178015
23,12.928250753414,"ECM organization",0.148867028797994,1.11058911314883
23,12.928250753414,"Fibroblast activation",0.100513270206621,0.5485411785691
23,12.928250753414,"Inflammation",0.0700415434535325,0.0986425891471756
23,12.928250753414,"TGF-beta",0.167771052656742,1.02600850686695
23,12.928250753414,"TGF-beta/SMAD",0.21315187379096,1.06293758194032
